x_true 	 x_rec 
9.497171e-07 	 9.497171e-07
1.200734e-06 	 1.200734e-06
1.480660e-06 	 1.480660e-06
1.789288e-06 	 1.789288e-06
2.126389e-06 	 2.126389e-06
2.491712e-06 	 2.491712e-06
2.884984e-06 	 2.884984e-06
3.305911e-06 	 3.305911e-06
3.754176e-06 	 3.754176e-06
4.229441e-06 	 4.229441e-06
4.731346e-06 	 4.731346e-06
5.259509e-06 	 5.259509e-06
5.813526e-06 	 5.813526e-06
6.392971e-06 	 6.392971e-06
6.997399e-06 	 6.997399e-06
7.626338e-06 	 7.626338e-06
8.279299e-06 	 8.279299e-06
8.955767e-06 	 8.955767e-06
9.655210e-06 	 9.655210e-06
1.037707e-05 	 1.037707e-05
1.112077e-05 	 1.112077e-05
1.188571e-05 	 1.188571e-05
1.267126e-05 	 1.267126e-05
1.347679e-05 	 1.347679e-05
1.430162e-05 	 1.430162e-05
1.514508e-05 	 1.514508e-05
1.600644e-05 	 1.600644e-05
1.688499e-05 	 1.688499e-05
1.777996e-05 	 1.777996e-05
1.869059e-05 	 1.869059e-05
1.961607e-05 	 1.961607e-05
2.055558e-05 	 2.055558e-05
2.150830e-05 	 2.150830e-05
2.247335e-05 	 2.247335e-05
2.344985e-05 	 2.344985e-05
2.443690e-05 	 2.443690e-05
2.543356e-05 	 2.543356e-05
2.643890e-05 	 2.643890e-05
2.745193e-05 	 2.745193e-05
2.847167e-05 	 2.847167e-05
2.949710e-05 	 2.949710e-05
3.052718e-05 	 3.052718e-05
3.156085e-05 	 3.156085e-05
3.259705e-05 	 3.259705e-05
3.363465e-05 	 3.363465e-05
3.467254e-05 	 3.467254e-05
3.570958e-05 	 3.570958e-05
3.674459e-05 	 3.674459e-05
3.777639e-05 	 3.777639e-05
3.880377e-05 	 3.880377e-05
3.982549e-05 	 3.982549e-05
4.084029e-05 	 4.084029e-05
4.184691e-05 	 4.184691e-05
4.284404e-05 	 4.284404e-05
4.383036e-05 	 4.383036e-05
4.480453e-05 	 4.480453e-05
4.576519e-05 	 4.576519e-05
4.671095e-05 	 4.671095e-05
4.764040e-05 	 4.764040e-05
4.855212e-05 	 4.855212e-05
4.944465e-05 	 4.944465e-05
5.031651e-05 	 5.031651e-05
5.116623e-05 	 5.116623e-05
5.199227e-05 	 5.199227e-05
5.279310e-05 	 5.279310e-05
5.356716e-05 	 5.356716e-05
5.431286e-05 	 5.431286e-05
5.502861e-05 	 5.502861e-05
5.571278e-05 	 5.571278e-05
5.636372e-05 	 5.636372e-05
5.697975e-05 	 5.697975e-05
5.755920e-05 	 5.755920e-05
5.810034e-05 	 5.810034e-05
5.860144e-05 	 5.860144e-05
5.906075e-05 	 5.906075e-05
5.947648e-05 	 5.947648e-05
5.984684e-05 	 5.984684e-05
6.017000e-05 	 6.017000e-05
6.044413e-05 	 6.044413e-05
6.066734e-05 	 6.066734e-05
6.083776e-05 	 6.083776e-05
6.095348e-05 	 6.095348e-05
6.101256e-05 	 6.101256e-05
6.101305e-05 	 6.101305e-05
6.095298e-05 	 6.095298e-05
6.083035e-05 	 6.083035e-05
6.064315e-05 	 6.064315e-05
6.038932e-05 	 6.038932e-05
6.006681e-05 	 6.006681e-05
5.967354e-05 	 5.967354e-05
5.920740e-05 	 5.920740e-05
5.866626e-05 	 5.866626e-05
5.804797e-05 	 5.804797e-05
5.735036e-05 	 5.735036e-05
5.657123e-05 	 5.657123e-05
5.570839e-05 	 5.570839e-05
5.475957e-05 	 5.475957e-05
5.372253e-05 	 5.372253e-05
5.259499e-05 	 5.259499e-05
5.137465e-05 	 5.137465e-05
5.005917e-05 	 5.005917e-05
4.864622e-05 	 4.864622e-05
4.713342e-05 	 4.713342e-05
4.551839e-05 	 4.551839e-05
4.379872e-05 	 4.379872e-05
4.197197e-05 	 4.197197e-05
4.003568e-05 	 4.003568e-05
3.798739e-05 	 3.798739e-05
3.582459e-05 	 3.582459e-05
3.354476e-05 	 3.354476e-05
3.114535e-05 	 3.114535e-05
2.862382e-05 	 2.862382e-05
2.597756e-05 	 2.597756e-05
2.320397e-05 	 2.320397e-05
2.030042e-05 	 2.030042e-05
1.726426e-05 	 1.726426e-05
1.409282e-05 	 1.409282e-05
1.078341e-05 	 1.078341e-05
7.333291e-06 	 7.333291e-06
3.739743e-06 	 3.739743e-06
0.000000e+00 	 -1.409752e-18
0.000000e+00 	 -1.148946e-18
3.350715e-08 	 3.350715e-08
1.340041e-07 	 1.340041e-07
3.014171e-07 	 3.014171e-07
5.356235e-07 	 5.356235e-07
8.364516e-07 	 8.364516e-07
1.203680e-06 	 1.203680e-06
1.637040e-06 	 1.637040e-06
2.136211e-06 	 2.136211e-06
2.700826e-06 	 2.700826e-06
3.330467e-06 	 3.330467e-06
4.024668e-06 	 4.024668e-06
4.782914e-06 	 4.782914e-06
5.604640e-06 	 5.604640e-06
6.489232e-06 	 6.489232e-06
7.436029e-06 	 7.436029e-06
8.444317e-06 	 8.444317e-06
9.513337e-06 	 9.513337e-06
1.064228e-05 	 1.064228e-05
1.183028e-05 	 1.183028e-05
1.307644e-05 	 1.307644e-05
